Name,Type,asset_type,type,maintain_customer,comments,it_owner,business_owner,customer,product_supplier,product_vendor,vendor_support,description/use,business_process,criticality,known_risks,dr,parent_system,description_use,technologies,pace_layer,tq_fq_quadrant,strategy_support,initiatives,roadmap_2016,roadmap_2018,notes
Di's Quote Service,system,lob_application,system,,,,,,,,,,,tier_2,,,,An intranet application used by the Priority Banking Team. It is used to determine the rate of change for large Term Deposits. The Priority Banking Team use it to track their quotes which ultimately enables them to collect sales points once or if the quote is accepted.,,sor,replace,,,,,
EFTPOS,system,lob_application,system,,,,,,,,,,,tier_1,,,,"Kiwibank use two services:
ETSL (Paymark)
Eftpos NZ (ANZ POS)
Only ETSL provide stand-in and have much bigger volumes than Eftpos NZ. All transactions are real-time and come in via the ATMC switch. Stand-in limit for Eftpos by ETSL is $1000.00. According to Distribution, POS has priority over ATM.",,sor,refactor,,,,,
EndofDay,component,system_component,component,,,,,,,,,,,tier_1,,,Ultracs,"Ultracs EOD processing occurs 7 days a week, after the processing of the ISL Inwards #2 file (Tues - Sat) and performs a number of important functions including closing the current day's processing.
 As part of the EOD process, there are a number of key sub processes; see the following components. Runs on Ultracs. ",,,,,,,,
EndofMonth,component,system_component,component,,,,,,,,,,,tier_1,,,Ultracs,"Occurs on the last night of every month, AFTER the End of day BEFORE Start of Day. Datacom hand control of system over to the Core banking group to run the EOM.
Runs on Ultracs.",,,,,,,,
EndofYear,component,system_component,component,,,,,,,,,,,tier_1,,,Ultracs,"Occurs on the last night of the financial year (30 June), AFTER the End of Month BEFORE Start of Day.  Runs on Ultracs",,,,,,,,
Fixed Rate Break Calculator,component,desktop_system,component,,,,,,,,,,Loan Discharge Enquiries,tier_2,,,,Loan Break-fee calculator,,sor,,,,,,
Flo2Cash,external,actor,external,,,,,,,,,,,tier_2,,,,"A Direct Debit Bureau service from 'Flo2Cash' (third party) that provides a Kiwibank customer portal to create and manage direct debits. Project Direct Debit Bureau (KB0312) will see the implementation of this solution in May 2012. The Portal runs in Flo2cash’s data centre in Auckland and communicates with Kiwibanks payments system to implement the payment requests. The solution is in simple terms made up of:a vendor 'Flo2Cash', hostingthe Flo2Cash system, which posts direct debit transaction information through tothe Kiwibank Payments Engine.
Technical Summary
The Flo2Cash system is a three tier model:Flo2Cash system accessing aWeb application, running on an IIS server that will access aBackend database.
The Flo2Cash system is architected as a gateway server that receives IP traffic from Flo2Cash. This traffic must meet a number of requirements before it is passed on to a gateway server running web services on IIS. Real time XML web services calls are converted into SQL statements and executed against a database on the ATM Reconciliation servers KBPDATMREC01 and 02.
There are a number of parties or dependencies involved in the dataflow:Flo2Cash who initiate the connection to Kiwibank.External DNS servers which provide Flo2Cash with the correct IP address based on the location of the live systemNetScalers which will validate the certificate used by Flo2Cash to authenticate and encrypt the data. Internal NetScalers will load balance the calls.Web Server using Microsoft IIS to present a single WCF web service.SQL server using SQL 2008Backend infrastructure servers.",,sor,keep,,,,,
Funds Transfer Pricing,system,lob_application,system,,,,,,,,,,Funding cost reallocation to profit centres,tier_2,,,"","","",sor,replace,"","","","",""
GDS Swaps Reporting,component,desktop_system,component,,,,,,,,,,,tier_2,,,,Creates Swap value numbers used for quarterly GDS report. The reports are  in SAS.,,,,,,,,
Heaps,system,lob_application,system,,,,,,,,,,"",tier_2,,,"","The heaps! application is personal finance management tool providing all New Zealanders with a goal setting and budgeting tool. The purpose of the tool is to add value to Kiwibank internet banking customers by giving them a way to manage their finances, however you don't have to be a Kiwibank customer to use heaps!  Kiwibank customers access heaps! via a button on their accounts page when they login to Internet Banking.  Non-kiwibank customer login viawww.heaps.co.nz and upload their banks data.The heaps! application is hosted on a third party server and the development is administered by Able Technology in Wellington.heaps! customer support is managed through the Kiwibank Online TeamThe way in which the tool works is:The heaps! application is 100% owned by Kiwibank.Internet banking customers can register for heaps! by logging into internet banking system from either the;Accounts page by clicking on the ‘heaps!’ buttonQuicklinks menu by clicking the ‘heaps! – sign up now’ quicklinkApply & Open menu, under ‘Personal finance management’.On registration their details are passed through CRM to staging where overnight, their transaction history for the last 12 months is found and stored in a file.The transaction history data file is encrypted and passed to a staging VPN.Able Technology access the file in the VPN and pull it into the heaps! application.Once registration is complete, customers access the heaps! application from the Accounts page in Internet banking by clicking on the ‘heaps!’ button.The customer interacts with the heaps! application independent to their internet banking session.The heaps! application will time out after 15min of inactivity.Beyond registration, a daily transaction data file is created for all customers who have registered and who have had their twelve month history provided.The heaps! application is free for all Kiwibank customers to use and allows the customer to track and categorise their spending, set spending targes and set and manage financial goals.Customers can upload transactions from the following banks in to  heaps!: ANZ (MS Money format), ASB (OFX format), BNZ (OFX format), National Bank (OFX format), Westpac (MYOB format).The heaps! web site is:www.heaps.co.nzNon-kiwibank customers register by clicking on the Login button from the web sitewww.heaps.co.nz","",sod,enhance,Digital,"","","",""
Instinct,system,lob_application,system,,,,,,,,,,used for person fraud monitoring ( used by Activate & also recives daily file for all customer accounts created ),tier_1,,,,"Instinct is another Dectech tool that identifies fraudulent applications. Activate queries Instinct when processing applications. These applications are assesses for their 'fraud potential"" and assigned a fraud risk grade - those cases which are highly suspicious are highlighted for further analysis by a fraud analyst using alerts.",,sor,refactor,,,,,
International Desktop Application,system,lob_application,system,,,,,,,,,,"International payments out - TT, DC, Draft.  FCA transfers.  Templated payments.  ",tier_1,,,,"A .NET / SQL desktop application available to the International ops team providing management functionality for:
Foreign Currecny Accounts (FCA)
Foreign Cheque Deposits
Telegraphic Transfers/ Direct Credits and Foreign Drafts
The Intldbprod db is held on CRM01. Inputs to the Application come from the International Middleware ('Middleware Shared'), and direct user input through the desktop interface.


Foreign Currency Accounts (FCA)
Kiwibank offer the ability for selected customers to hold foreign currency accounts (FCA) in five major currencies:

GB Pound
US Dollar
Euro
Australian Dollar
Japanese Yen.
As Kiwibank's core bank system has no ability to host FCAs, Citibank were chosen as the service provider. All financial transactions are held and operated within CitiBank systems.
The Intldbprod db is held on CRM01. Inputs to the Application come from the International Middleware ('Middleware Shared'), and direct user input through the desktop interface.",,sor,refactor,,,,,
Internet Banking,system,lob_application,system,,,,,,,,,,Monitoring for Fraud,tier_1,,,,"There are a number of systems that rely on the availability of the Internet including,  Activate Veda Advantage, Bloomberg, Citi Treasury, CitiDirect, CitiFX Chief Dealer, Docushare, eFunds, Flo2Cash, Go Fly Credit Cards, Imprint, Jadestar, JP Morgan, Landonline, Online Credit Card Application process, Overnight Processing, PAPS, PrimeClear, PrimeTrade, Propel, Reuters, RightNow, Swift, Voyager & VPS.
There are a number of systems that rely on the availability of the Internet including,  Activate Veda Advantage, Bloomberg, Citi Treasury, CitiDirect, CitiFX Chief Dealer, Docushare, eFunds, Flo2Cash, Go Fly Credit Cards, Imprint, Jadestar, JP Morgan, Landonline, Online Credit Card Application process, Overnight Processing, PAPS, PrimeClear, PrimeTrade, Propel, Reuters, RightNow, Swift, Voyager & VPS.

The Apps that impacted in the Dealing room (Auckland and wellington) are:
Thomson Reuters, 360T FX trading, BARX, CitiVelocity
The Apps that impacted for treasury operations are: CitiDirect, JPMorgan",,sod,refactor,,,,,
IVR,system,lob_application,system,,,,,,,,,,Manage urgent queries to facilitate continued function of Prepaid & Debit Cards,tier_2,,,,"Interactive Voice Response, used by Phone Banking & Call Centres.
Part of the Gen-i Managed Telephony Service.
An IVR enables a telephone caller, to select options from a voice menu and interact with the computer phone system.
The IVRs also recognise the caller's simple spoken answer such as ""yes"", ""no"", or a number as a valid response to the voice prompt.",,sod,keep,,,,,
KBMAC,external,actor,external,,,,,,,,,,"During crisis, implement relief package for Business and Retail Customers ",tier_1,,,,"KBMAC (Kiwibank – Manage Customer).
KBMAC is an application suite within the NZPost Teller Point of Sale (POS) application called PostLink.
 
It provides the PostShop Teller with all transactional activity relating to Kiwibank Customers accounts including credit cards:
Deposit
Print Balance
Withdrawal
Transaction Listing
Fund Transfer
Maintain Payments
Order Bank Cheque
Card Maintenance
Term Deposit
Order Statement
Order Stationery
View AOA
Referrals
Stop Cheque
Account Maintenance
Customer Maintenance
Foreign Cheque Deposits
International TTs, DCs and Drafts",,sod,replace,,,,,
Kiwisaver,system,lob_application,system,,,,,,,,,,"",tier_1,,,"","Kiwisaver processing eg payment reversals, early withdrawals; Payment exceptions for failed KiwiSaver transactions are sent to the KiwiSaver Sharepoint site. Add to scope; Tier 2",Sharepoint Application,sor,replace,"","","","",""
Lips,component,system_component,component,,,,,,,,,,,tier_2,,,ValueQ7,"A web application component of the Policy Admin System - Value Q7.
LIPS is integrated and displayed within In Touch screens. It is used by frontline staff to process new insurance applications, and to provide advice on existing insurance policies.

Staff also use In Touch to view documents - including insurance documents. These documents are held within DIMS.",,,,,,,,
Liquidity,not_determined,?,not_determined,,,,,,,,,,,tier_2,,,,Daily and Monthly RBNZ & Treasury reporting needs,,,,,,,,
MarkitWire,external,actor,external,,,,,,,,,,Interbank IR Swaps trading,tier_2,,,,"Global IR Swaps trading platform, required for OTC Derivatives trading compliance",,sor,keep,,,,,
Mobile Banking,system,lob_application,system,,,,,,,,,,,tier_1,,,,"Mobile Internet Banking allows customers do basic internet banking on a mobile phone’s web browser.The customer goes to the urlwww.kiwibank.co.nz/mobile (they will also be redirected there if they go towww.kiwibank.co.nz)They login with their existing internet banking credentials.Keepsafe is:not required at loginnot required when selecting a saved personal payeenot required when selecting a bill payeerequired when entering the account number to make a one off payment.The new mobile banking offers a full suite of banking services:One-off paymentsPay all billsSkip or cancel automatic paymentsTransfer money between accountsView account balancesCheck transaction historySee upcoming paymentsPay your Kiwibank Credit Card
What is not currently supported:Does not support Business Banking customers
MIB now runs under the new internet banking architecture.
Is compatible with:iPhoneWindows Mobile SmartphonesRegular mobile phones with web browsers (WAP enabled).
There are two different versions of web pages .  The web site detects the type of phone and displays the appropriate version.
Mobile Internet Banking differs from 'Mobile Banking' (see link under Related KB Systems) in that:It doesn't require the customer to download anything (ie. Java applet).It is supported by Kiwibank and lives within the Internet Banking environment (3rd party Fronde support and manage Mobile Banking).Uses existing IB login credentials rather than a seperate unique password.Works with most modern phones that have web access (Mobile Banking's Java applet does not work with many modern smartphones)
",,sod,replace,,,,,
Moodys,system,lob_application,system,,,,,,,,,,,tier_2,,,,Moody's Risk-Origins software is used for Loan origination and decisioning processing and loan management. Moodys is used for wholesale and large business loans only whereas Activate is used for all other types of loans.,,sor,keep,,,,,
Musicida,system,lob_application,system,,,,,,,,,,"During crisis, implement relief package for Business and Retail Customers ",tier_2,,,,"Recs team use this application to view post transactions for Post dishonour and NZPost Payover tasks. Customers are able to redeem money orders at a NZ Post outlet. These can be exchanged for cash, or processed as a direct credit to their bank account. Alternatively they can be sent to Kiwibank head office to be redeemed into a bank account.",,sor,keep,,,,,
OnlineCreditCardApp,component,system_component,component,,,,,,,,,,,tier_1,,,Internet Banking,"This is a new credit card application process available from Internet Banking and the Kiwibank website.
The interactive asp pages enable the customer to complete a form then submit their details to Activate KB via the Middleware for processing.

When an existing Kiwibank customer provides a valid access number, it will automatically populate identification fields with data held into Activate.

If an access number is not provided, the system will check the customers full name, d.o.b and complete a verification process (i.e. verify a match in Ultracs) then populate the identification fields.",,,,,,,,
OnlineHomeLoanApp,component,system_component,component,,,,,,,,,,,tier_1,,,Internet Banking,"This is a new Home Loan application process available from Internet Banking and the Kiwibank website.
The interactive asp pages enable the customer to complete a form then submit their details to Activate KB via the Middleware for processing.

When an existing Kiwibank customer provides a valid access number, it will automatically populate identification fields with data held into Activate.

If an access number is not provided, the system will check the customers full name, d.o.b and complete a verification process (i.e. verify a match in Ultracs) then populate the identification fields.",,,replace,Digital,,,,
Outbound,system,lob_application,system,,,,,,,,,,,tier_2,,,,"3rd party product that puts pin numbers on credit cards over the phone. Works with the Pin Loading application
""PIN at Store is a application available from Postshops that enable customers to put PINs on debit/credit cards.
It provides the ability to:Order a personalised or issue non-personalised EFTPOS cardStop/Replace an existing EFTPOS card (which may have been lost, stolen, or damaged)Change a forgotten / known PIN on an EFTPOS or a credit cardAdd a PIN on a newly issued credit cardChange card / account linkage
PIN @ Store impacts the following systems:
Ultracs Backend System
A list of new function were developed and existing services were modified to support PIN at Store services.
Base 2000 Backend System
GBI file was modified for credit card pin change in B2K system.
Web Services and Card Management System(CMS)These were developed to provide key management for the PIN pad devices and PVV/CVV generation.
Middleware Services
Existing middleware services were extended to interface with KBMAC and Ultracs in order to provide PIN at Store related services.
KBMAC Front End System
“Manage Card” function was added to existing KBMAC services. 

Data Warehouse
The following tables were created and populated in the data warehouse to enable MIS reporting on PIN at Store services:ATMCards_BranchStock,ATMCards_BranchStockDetails,PostlinkLog

The following three peripheral devices are integrated with Postlink “Pin at Store” workflow (see also linked diagrams):Swift Pinpad, supplied by Quest Payment services, used currently for Eftpos paymentsMillentech Card Encoder deviceMillentech DC420 Network appliance; for connecting and sharing the Card Encoder with all post shop terminals.

The following is required for PIN encoding to work:Quest Swift Pin Pad is successfully updated with required key and operationalMillentech Magtech Encoder is installed, configured and operationalMillentech DC429 network device is configured and connected to with Encoder, operationalKB Web Services, HSM and CMS are operationalThe extended middleware service is operational""",,sor,keep,,,,,
Prepaid,system,lob_application,system,,,,,,,,,,"",tier_2,,,"",Hosted by VPS,"",sor,replace,"","","","",""
Propel,system,lob_application,system,,,,,,,,,,Settle/Discharge existing home loans,tier_2,,,,"Used by Home Loans Operations for Loan Documentation. Internet based, the system is accessed by using a web browser.",,sod,replace,,,,,
PublicInternet,system,lob_application,system,,,,,,,,,,,tier_2,,,,"This is Kiwibanks' public facing website, recently redeveloped by an external company Springload.
Internet Banking is also available from the main website.

The Change Process
Springload push changes to the Web servers from SIT. Springload have remote access to KBSTWEBOLB03. From here they push updates to KBPDWEBOLB03,04,51 and 52.

If a change needs to be requested, this should be raised through Marketing Services (Sara Horsley).",,sod,replace,,,,,
Quantum,component,system_component,component,,,,,,,,,,Financial Market Trade capture and settlement,tier_1,,,TMS,"All Financial markets products - FX, MM, Securities, Derivatives",,sor,keep,,,,,
Quest,system,lob_application,system,,,,,,,,,,,tier_2,,,,"Web-based Insurance system provided by Tower for house, contents and car insurance.
Postshops and customers call the '0800' number which is answered by the Insurance sales team in Outbound. The team access the Quest system and enter the details of the application.

Within the next 6 to 12 months, Quest will be integrated with In Touch, enabling staff to access Quest via In Touch.
""Service View is a web-based interface to B2K that is by some staff in Personal Markets, Insurance and Enterprise Operations. Service View offers enquiry and maintenance functions to the majority of customer credit card enquiries.
""""A service for sending txt message and/or email alerts to customers when certain events on their accounts match their alert subscriptions as setup in Internet Banking.
Uses the same Alerting platform as Text Banking.

Customers can request to receive an alert when:A deposit over a specified amount has been deposited into their account.Their account has gone below a specified balance.An automatic payment has failed.An automatic payment has dishonoured.A direct debit has dishonoured.
Text Alerts, like Text Banking, relies on the 'Restful' Platform (previously known as MessageDirect), provided by Fronde.

Project CallBlaster: Text Rebuild, Nov 2011, is delivering a more robust and consistent Txt banking and alerting platform. It has also added the ability for customers to get an alert when a credit is made to their nominated accounts (see Text Alerting)

Technical OverviewFronde's Restful interface handles the sending and receiving of customer text messages.Inbound Txt messages (sent to 5494) are passed from Restful to Kiwibank's Channel Middleware.Middleware CBI / Common handles the delivery to the SDT, with Middleware IB and InTouch contributing customer data.Biztalk is responsible for fee processing and communication processing functions, sending out the customer alert emails to exchange, and sending out the customer Txt Alert and Banking messages to Fronde's Restful interface.Key backend Kiwibank systems include:SDT - primary source of customer contact information incl. subscribed mobile number, subscription and preference information, activity and history tables and Fee Processing output table (sent to Ultracs).CRM - contains the Alert Processing logic. This is the 'brains' of the Txt alert and banking systemUltracs - provides overnight feed of transactions, and fee posting account updates.Datastaging feeds for data transfer in and out of the above systems (6 in total)
See  the linked Text Rebuild Solution diagram for more information.""""
""""An automated service for sending text messages to customers with account information in response to their request for such.
Uses the same Alerting platform as Text Alerts.

When the customer sends a text message of """"""""bal"""""""" to 5494, they will automatically receive a reply text message with:their account balancesthe last 5 transactions on those accounts (if they have requested to receive this via IB)
Text banking, like Text Alerts, relies on the 'Restful' Platform (previously known as MessageDirect), provided by Fronde.

Project CallBlaster: Text Rebuild, Nov 2011, is delivering a more robust and consistent Txt banking and alerting platform. It has also added the ability for customers to get an alert when a credit is made to their nominated accounts (see Text Alerting)

Technical OverviewFronde's Restful interface handles the sending and receiving of customer text messages.Inbound Txt messages (sent to 5494) are passed from Restful to Kiwibank's Channel Middleware.Middleware CBI / Common handles the delivery to the SDT, with Middleware IB and InTouch contributing customer data.Biztalk is responsible for fee processing and communication processing functions, sending out the customer alert emails to exchange, and sending out the customer Txt Alert and Banking messages to Fronde's Restful interface.Key backend Kiwibank systems include:SDT - primary source of customer contact information incl. subscribed mobile number, subscription and preference information, activity and history tables and Fee Processing output table (sent to Ultracs).CRM - contains the Alert Processing logic. This is the 'brains' of the Txt alert and banking systemUltracs - provides overnight feed of transactions, and fee posting account updates.Datastaging feeds for data transfer in and out of the above systems (6 in total)
See  the linked Text Rebuild Solution diagram for more information.""
""A service for sending txt message and/or email alerts to customers when certain events on their accounts match their alert subscriptions as setup in Internet Banking.
Uses the same Alerting platform as Text Banking.

Customers can request to receive an alert when:A deposit over a specified amount has been deposited into their account.Their account has gone below a specified balance.An automatic payment has failed.An automatic payment has dishonoured.A direct debit has dishonoured.
Text Alerts, like Text Banking, relies on the 'Restful' Platform (previously known as MessageDirect), provided by Fronde.

Project CallBlaster: Text Rebuild, Nov 2011, is delivering a more robust and consistent Txt banking and alerting platform. It has also added the ability for customers to get an alert when a credit is made to their nominated accounts (see Text Alerting)

Technical OverviewFronde's Restful interface handles the sending and receiving of customer text messages.Inbound Txt messages (sent to 5494) are passed from Restful to Kiwibank's Channel Middleware.Middleware CBI / Common handles the delivery to the SDT, with Middleware IB and InTouch contributing customer data.Biztalk is responsible for fee processing and communication processing functions, sending out the customer alert emails to exchange, and sending out the customer Txt Alert and Banking messages to Fronde's Restful interface.Key backend Kiwibank systems include:SDT - primary source of customer contact information incl. subscribed mobile number, subscription and preference information, activity and history tables and Fee Processing output table (sent to Ultracs).CRM - contains the Alert Processing logic. This is the 'brains' of the Txt alert and banking systemUltracs - provides overnight feed of transactions, and fee posting account updates.Datastaging feeds for data transfer in and out of the above systems (6 in total)
See  the linked Text Rebuild Solution diagram for more information.""
""An automated service for sending text messages to customers with account information in response to their request for such.
Uses the same Alerting platform as Text Alerts.

When the customer sends a text message of """"bal"""" to 5494, they will automatically receive a reply text message with:their account balancesthe last 5 transactions on those accounts (if they have requested to receive this via IB)
Text banking, like Text Alerts, relies on the 'Restful' Platform (previously known as MessageDirect), provided by Fronde.

Project CallBlaster: Text Rebuild, Nov 2011, is delivering a more robust and consistent Txt banking and alerting platform. It has also added the ability for customers to get an alert when a credit is made to their nominated accounts (see Text Alerting)

Technical OverviewFronde's Restful interface handles the sending and receiving of customer text messages.Inbound Txt messages (sent to 5494) are passed from Restful to Kiwibank's Channel Middleware.Middleware CBI / Common handles the delivery to the SDT, with Middleware IB and InTouch contributing customer data.Biztalk is responsible for fee processing and communication processing functions, sending out the customer alert emails to exchange, and sending out the customer Txt Alert and Banking messages to Fronde's Restful interface.Key backend Kiwibank systems include:SDT - primary source of customer contact information incl. subscribed mobile number, subscription and preference information, activity and history tables and Fee Processing output table (sent to Ultracs).CRM - contains the Alert Processing logic. This is the 'brains' of the Txt alert and banking systemUltracs - provides overnight feed of transactions, and fee posting account updates.Datastaging feeds for data transfer in and out of the above systems (6 in total)
See  the linked Text Rebuild Solution diagram for more information.


""",,sod,keep,,,,,
Third Party Exports,system,lob_application,system,,,,,,,,,,,tier_2,,,,"ASP .NET application used by business staff for registering a customer's account for the transaction export service - required for Xero account activation.
Transactions for registered accounts are pushed to Xero following daily processing (average 4am) via encrypted VPN.
The application is published and accessed via Sharepoint here:http://collaborate/sites/SupportServices/ThirdPartyExports/default.aspx",,sod,replace,,,,,
Tieback,system,lob_application,system,,,,,,,,,,,tier_2,,,,"An important part of the Fraud Detection architecture. Allows both automatic and manual blocking of credit or debit cards:
   - Automatically initiated by the PRM application when, based on a set of rules, fraudulent card activity is detected.
   - Manually by the FIST Analyst via the PRM application.

This application is a Windows Service that is installed on the PRM Application Server. It is responsible for polling the PRM database for tieback action requests (tieback table) and initiating the associate system function based on the action type.

Currently Tieback support the following action types:Block: This requests a card status change in the appropriate host system, either B2K for credit cards or Ultracs for debit cards. The status change requested is determined by the state property of the action request. If state = 0 then a logical unblock is requested bringing the card into an active state if host business rules allow. If state=1 then a local block is requested bring the card into a restricted state if business rules allow.Fraud: This requests the creation of a CaseBook case if one does not already exist for this card.Call: This requests a General Note/Action Note being created that can be viewed through In Touch/Prosper respectively.Memo: This requests a General Note/Action Note being created that can be viewed through In Touch/Prosper respectively.POC Block: See Block.
All these action requests are services through middleware calls and all will end with the Tieback update the action request with the result of performing the requested action.

",,sor,enhance,,,,,
